,state,year,lrmer_co2e_kg_mwh,case
528,PA,2028,488.7,HighRECost
529,PA,2030,500.2,HighRECost
530,PA,2032,459.0,HighRECost
531,PA,2034,452.0,HighRECost
532,PA,2036,451.4,HighRECost
533,PA,2038,490.1,HighRECost
534,PA,2040,500.8,HighRECost
535,PA,2042,505.4,HighRECost
536,PA,2044,487.2,HighRECost
537,PA,2046,462.4,HighRECost
538,PA,2048,439.5,HighRECost
539,PA,2050,429.7,HighRECost
540,RI,2022,665.0,HighRECost
541,RI,2024,580.4,HighRECost
542,RI,2026,425.6,HighRECost
543,RI,2028,398.0,HighRECost
544,RI,2030,380.4,HighRECost
545,RI,2032,361.5,HighRECost
546,RI,2034,352.7,HighRECost
547,RI,2036,348.8,HighRECost
548,RI,2038,347.9,HighRECost
549,RI,2040,347.8,HighRECost
550,RI,2042,350.8,HighRECost
551,RI,2044,354.3,HighRECost
552,RI,2046,346.1,HighRECost
553,RI,2048,315.3,HighRECost
554,RI,2050,294.4,HighRECost
555,SC,2022,697.3,HighRECost
556,SC,2024,628.8,HighRECost
557,SC,2026,504.4,HighRECost
558,SC,2028,483.0,HighRECost
559,SC,2030,478.7,HighRECost
560,SC,2032,441.6,HighRECost
561,SC,2034,453.5,HighRECost
562,SC,2036,478.2,HighRECost
563,SC,2038,530.3,HighRECost
564,SC,2040,553.6,HighRECost
565,SC,2042,571.5,HighRECost
566,SC,2044,510.8,HighRECost
567,SC,2046,407.9,HighRECost
568,SC,2048,320.8,HighRECost
569,SC,2050,307.8,HighRECost
570,SD,2022,749.5,HighRECost
571,SD,2024,580.3,HighRECost
572,SD,2026,374.9,HighRECost
573,SD,2028,365.2,HighRECost
574,SD,2030,512.2,HighRECost
575,SD,2032,439.4,HighRECost
576,SD,2034,477.4,HighRECost
577,SD,2036,351.0,HighRECost
578,SD,2038,414.2,HighRECost
579,SD,2040,343.1,HighRECost
580,SD,2042,426.5,HighRECost
581,SD,2044,348.4,HighRECost
582,SD,2046,279.5,HighRECost
583,SD,2048,127.7,HighRECost
584,SD,2050,129.0,HighRECost
585,TN,2022,705.1,HighRECost
586,TN,2024,627.2,HighRECost
587,TN,2026,480.3,HighRECost
588,TN,2028,457.5,HighRECost
589,TN,2030,444.8,HighRECost
590,TN,2032,411.9,HighRECost
591,TN,2034,432.9,HighRECost
592,TN,2036,454.5,HighRECost
593,TN,2038,506.0,HighRECost
594,TN,2040,510.7,HighRECost
595,TN,2042,520.6,HighRECost
596,TN,2044,494.4,HighRECost
597,TN,2046,459.7,HighRECost
598,TN,2048,420.4,HighRECost
599,TN,2050,410.7,HighRECost
600,TX,2022,590.1,HighRECost
601,TX,2024,542.3,HighRECost
602,TX,2026,466.1,HighRECost
603,TX,2028,448.7,HighRECost
604,TX,2030,445.0,HighRECost
605,TX,2032,425.9,HighRECost
606,TX,2034,434.3,HighRECost
607,TX,2036,436.6,HighRECost
608,TX,2038,475.0,HighRECost
609,TX,2040,441.2,HighRECost
610,TX,2042,456.4,HighRECost
611,TX,2044,361.0,HighRECost
612,TX,2046,275.9,HighRECost
613,TX,2048,156.8,HighRECost
614,TX,2050,137.6,HighRECost
615,UT,2022,594.2,HighRECost
616,UT,2024,523.8,HighRECost
617,UT,2026,423.6,HighRECost
618,UT,2028,427.1,HighRECost
619,UT,2030,453.4,HighRECost
620,UT,2032,436.1,HighRECost
621,UT,2034,449.6,HighRECost
622,UT,2036,440.2,HighRECost
623,UT,2038,455.1,HighRECost
624,UT,2040,420.8,HighRECost
625,UT,2042,433.5,HighRECost
626,UT,2044,368.0,HighRECost
627,UT,2046,327.2,HighRECost
628,UT,2048,251.5,HighRECost
629,UT,2050,259.8,HighRECost
630,VA,2022,579.1,HighRECost
631,VA,2024,512.0,HighRECost
632,VA,2026,387.5,HighRECost
633,VA,2028,364.1,HighRECost
634,VA,2030,344.3,HighRECost
635,VA,2032,335.7,HighRECost
636,VA,2034,289.9,HighRECost
637,VA,2036,260.7,HighRECost
638,VA,2038,225.3,HighRECost
639,VA,2040,213.9,HighRECost
640,VA,2042,191.6,HighRECost
641,VA,2044,173.9,HighRECost
642,VA,2046,161.6,HighRECost
643,VA,2048,150.1,HighRECost
644,VA,2050,142.7,HighRECost
645,VT,2022,253.3,HighRECost
646,VT,2024,247.3,HighRECost
647,VT,2026,244.7,HighRECost
648,VT,2028,232.2,HighRECost
649,VT,2030,211.5,HighRECost
650,VT,2032,199.1,HighRECost
651,VT,2034,194.1,HighRECost
652,VT,2036,205.7,HighRECost
653,VT,2038,207.1,HighRECost
654,VT,2040,211.4,HighRECost
655,VT,2042,212.8,HighRECost
656,VT,2044,215.0,HighRECost
657,VT,2046,215.2,HighRECost
658,VT,2048,210.6,HighRECost
659,VT,2050,206.8,HighRECost
660,WA,2022,592.0,HighRECost
661,WA,2024,521.9,HighRECost
662,WA,2026,420.6,HighRECost
663,WA,2028,328.7,HighRECost
664,WA,2030,253.5,HighRECost
665,WA,2032,163.6,HighRECost
666,WA,2034,155.3,HighRECost
667,WA,2036,148.1,HighRECost
668,WA,2038,137.8,HighRECost
669,WA,2040,136.4,HighRECost
670,WA,2042,122.8,HighRECost
671,WA,2044,118.6,HighRECost
672,WA,2046,117.1,HighRECost
673,WA,2048,128.9,HighRECost
674,WA,2050,130.3,HighRECost
675,WI,2022,694.3,HighRECost
676,WI,2024,609.1,HighRECost
677,WI,2026,449.9,HighRECost
678,WI,2028,431.9,HighRECost
679,WI,2030,451.6,HighRECost
680,WI,2032,418.0,HighRECost
681,WI,2034,439.7,HighRECost
682,WI,2036,425.3,HighRECost
683,WI,2038,477.1,HighRECost
684,WI,2040,455.6,HighRECost
685,WI,2042,486.5,HighRECost
686,WI,2044,432.0,HighRECost
687,WI,2046,374.7,HighRECost
688,WI,2048,274.5,HighRECost
689,WI,2050,260.0,HighRECost
690,WV,2022,650.1,HighRECost
691,WV,2024,583.9,HighRECost
692,WV,2026,453.1,HighRECost
693,WV,2028,438.6,HighRECost
694,WV,2030,451.6,HighRECost
695,WV,2032,445.0,HighRECost
696,WV,2034,470.3,HighRECost
697,WV,2036,485.1,HighRECost
698,WV,2038,534.1,HighRECost
699,WV,2040,535.1,HighRECost
700,WV,2042,542.3,HighRECost
701,WV,2044,511.3,HighRECost
702,WV,2046,479.2,HighRECost
703,WV,2048,423.7,HighRECost
704,WV,2050,404.3,HighRECost
705,WY,2022,638.7,HighRECost
706,WY,2024,515.4,HighRECost
707,WY,2026,350.7,HighRECost
708,WY,2028,336.9,HighRECost
709,WY,2030,403.5,HighRECost
710,WY,2032,401.6,HighRECost
711,WY,2034,432.2,HighRECost
712,WY,2036,402.4,HighRECost
713,WY,2038,425.1,HighRECost
714,WY,2040,382.3,HighRECost
715,WY,2042,413.8,HighRECost
716,WY,2044,340.5,HighRECost
717,WY,2046,291.0,HighRECost
718,WY,2048,200.8,HighRECost
719,WY,2050,213.9,HighRECost
0,AL,2022,792.1,LowRECost
1,AL,2024,718.8,LowRECost
2,AL,2026,603.8,LowRECost
3,AL,2028,455.1,LowRECost
4,AL,2030,366.1,LowRECost
5,AL,2032,293.9,LowRECost
6,AL,2034,258.1,LowRECost
7,AL,2036,191.7,LowRECost
8,AL,2038,136.6,LowRECost
9,AL,2040,86.0,LowRECost
10,AL,2042,84.6,LowRECost
11,AL,2044,147.8,LowRECost
12,AL,2046,299.5,LowRECost
13,AL,2048,395.0,LowRECost
14,AL,2050,448.9,LowRECost
15,AR,2022,685.6,LowRECost
16,AR,2024,562.5,LowRECost
17,AR,2026,370.1,LowRECost
18,AR,2028,287.6,LowRECost
19,AR,2030,308.7,LowRECost
20,AR,2032,312.5,LowRECost
21,AR,2034,297.3,LowRECost
22,AR,2036,196.1,LowRECost
23,AR,2038,130.1,LowRECost
24,AR,2040,71.4,LowRECost
25,AR,2042,173.1,LowRECost
26,AR,2044,256.3,LowRECost
27,AR,2046,370.4,LowRECost
28,AR,2048,343.4,LowRECost
29,AR,2050,350.8,LowRECost
30,AZ,2022,542.4,LowRECost
31,AZ,2024,518.1,LowRECost
32,AZ,2026,417.3,LowRECost
33,AZ,2028,305.1,LowRECost
34,AZ,2030,195.3,LowRECost
35,AZ,2032,109.6,LowRECost
36,AZ,2034,74.1,LowRECost
37,AZ,2036,41.2,LowRECost
38,AZ,2038,57.7,LowRECost
39,AZ,2040,106.7,LowRECost
40,AZ,2042,130.0,LowRECost
41,AZ,2044,145.4,LowRECost
42,AZ,2046,204.4,LowRECost
43,AZ,2048,221.0,LowRECost
44,AZ,2050,262.5,LowRECost
45,CA,2022,309.6,LowRECost
46,CA,2024,258.5,LowRECost
47,CA,2026,165.0,LowRECost
